name,opponent,n,mean,median,min,max,stdev
combo_capped15_x_shopscaled_3_1,random,8,4134.2,4142.5,4051.0,4217.0,59.1
combo_capped15_x_shopscaled_3_1,starter,8,4149.0,4118.0,4007.0,4285.0,108.8
combo_capped15_x_threshprice_10_25,random,8,4196.6,4193.0,4090.0,4300.0,69.2
combo_capped15_x_threshprice_10_25,starter,8,4146.8,4155.5,3961.0,4268.0,99.8
arb_wheat_only,random,8,4171.4,4172.0,4083.0,4225.0,49.9
arb_wheat_only,starter,8,4151.2,4139.5,4061.0,4226.0,55.9
arb_fert_only,random,8,4210.0,4222.5,4137.0,4279.0,47.8
arb_fert_only,starter,8,4147.1,4135.0,4101.0,4248.0,45.9
arb_both,random,8,4197.2,4228.0,4026.0,4296.0,101.8
arb_both,starter,8,4141.9,4139.0,3954.0,4284.0,101.9
arb_wheat_aggressive,random,8,4152.0,4126.5,4026.0,4296.0,93.9
arb_wheat_aggressive,starter,8,4169.6,4177.5,4003.0,4307.0,95.0
